--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 16:53:53 2023
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'pid': 4000, 'username': None, 'vms': 1.44140625}
{'name': 'svchost.exe', 'pid': 4176, 'username': None, 'vms': 16.4375}
{'name': 'mcafee-security.exe', 'pid': 4244, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 56.3984375}
{'name': 'svchost.exe', 'pid': 4248, 'username': None, 'vms': 13.66015625}
{'name': 'svchost.exe', 'pid': 4300, 'username': None, 'vms': 2.640625}
{'name': 'WmiPrvSE.exe', 'pid': 4408, 'username': None, 'vms': 40.03125}
{'name': 'svchost.exe', 'pid': 4468, 'username': None, 'vms': 6.34765625}
{'name': 'svchost.exe', 'pid': 4500, 'username': None, 'vms': 3.71875}
{'name': 'svchost.exe', 'pid': 4656, 'username': None, 'vms': 4.375}
{'name': 'wlanext.exe', 'pid': 4712, 'username': None, 'vms': 1.4609375}
{'name': 'conhost.exe', 'pid': 4720, 'username': None, 'vms': 5.11328125}
{'name': 'svchost.exe', 'pid': 4724, 'username': None, 'vms': 1.83984375}
{'name': 'svchost.exe', 'pid': 4784, 'username': None, 'vms': 2.4296875}
{'name': 'spoolsv.exe', 'pid': 5076, 'username': None, 'vms': 5.37890625}
{'name': 'conhost.exe', 'pid': 5172, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 5.24609375}
{'name': 'EMON.EXE', 'pid': 5188, 'username': None, 'vms': 10.6640625}
{'name': 'armsvc.exe', 'pid': 5232, 'username': None, 'vms': 1.3359375}
{'name': 'svchost.exe', 'pid': 5244, 'username': None, 'vms': 3.87109375}
{'name': 'AnyDesk.exe', 'pid': 5252, 'username': None, 'vms': 20.80078125}
{'name': 'svchost.exe', 'pid': 5272, 'username': None, 'vms': 13.0234375}
{'name': 'svchost.exe', 'pid': 5280, 'username': None, 'vms': 18.859375}
{'name': 'OfficeClickToRun.exe', 'pid': 5296, 'username': None, 'vms': 29.8828125}
{'name': 'GoogleInputService.exe', 'pid': 5308, 'username': None, 'vms': 1.6875}
{'name': 'svchost.exe', 'pid': 5336, 'username': None, 'vms': 2.70703125}
{'name': 'jhi_service.exe', 'pid': 5348, 'username': None, 'vms': 1.265625}
{'name': 'esif_uf.exe', 'pid': 5360, 'username': None, 'vms': 1.93359375}
{'name': 'svchost.exe', 'pid': 5384, 'username': None, 'vms': 4.66015625}
{'name': 'NahimicService.exe', 'pid': 5396, 'username': None, 'vms': 3.19140625}
