--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 17:09:13 2023
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.05078125}
{'name': 'Registry', 'username': None, 'pid': 176, 'vms': 13.66015625}
{'name': 'svchost.exe', 'username': None, 'pid': 516, 'vms': 3.40625}
{'name': 'smss.exe', 'username': None, 'pid': 708, 'vms': 1.09765625}
{'name': 'csrss.exe', 'username': None, 'pid': 820, 'vms': 2.75390625}
{'name': 'svchost.exe', 'username': None, 'pid': 860, 'vms': 6.64453125}
{'name': 'wininit.exe', 'username': None, 'pid': 1104, 'vms': 1.80859375}
{'name': 'services.exe', 'username': None, 'pid': 1172, 'vms': 7.07421875}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 1184, 'vms': 54.69140625}
{'name': 'lsass.exe', 'username': None, 'pid': 1196, 'vms': 9.10546875}
{'name': 'svchost.exe', 'username': None, 'pid': 1212, 'vms': 6.00390625}
{'name': 'svchost.exe', 'username': None, 'pid': 1324, 'vms': 13.10546875}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1340, 'vms': 1.9140625}
{'name': 'svchost.exe', 'username': None, 'pid': 1412, 'vms': 8.484375}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1436, 'vms': 5.30859375}
{'name': 'svchost.exe', 'username': None, 'pid': 1500, 'vms': 3.09375}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1536, 'vms': 11.11328125}
{'name': 'python3.10.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 1668, 'vms': 17.66015625}
{'name': 'dptf_helper.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 1744, 'vms': 1.53125}
{'name': 'LockApp.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 1784, 'vms': 40.75}
{'name': 'svchost.exe', 'username': None, 'pid': 1836, 'vms': 6.421875}
{'name': 'svchost.exe', 'username': None, 'pid': 1852, 'vms': 2.375}
{'name': 'svchost.exe', 'username': None, 'pid': 1868, 'vms': 2.85546875}
{'name': 'svchost.exe', 'username': None, 'pid': 1888, 'vms': 3.24609375}
{'name': 'winlogon.exe', 'username': None, 'pid': 1908, 'vms': 2.6171875}
{'name': 'svchost.exe', 'username': None, 'pid': 1972, 'vms': 2.82421875}
{'name': 'svchost.exe', 'username': None, 'pid': 1996, 'vms': 2.26171875}
{'name': 'svchost.exe', 'username': None, 'pid': 2000, 'vms': 2.87890625}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 2036, 'vms': 16.484375}
{'name': 'svchost.exe', 'username': None, 'pid': 2056, 'vms': 2.359375}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 2068, 'vms': 31.07421875}
{'name': 'TextInputHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 2144, 'vms': 74.58203125}
