--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 13:59:45 2023
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 4248, 'vms': 13.23046875}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 4260, 'vms': 35.53515625}
{'name': 'svchost.exe', 'username': None, 'pid': 4300, 'vms': 2.39453125}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4408, 'vms': 40.6640625}
{'name': 'svchost.exe', 'username': None, 'pid': 4468, 'vms': 6.24609375}
{'name': 'svchost.exe', 'username': None, 'pid': 4500, 'vms': 3.04296875}
{'name': 'svchost.exe', 'username': None, 'pid': 4656, 'vms': 4.328125}
{'name': 'wlanext.exe', 'username': None, 'pid': 4712, 'vms': 1.32421875}
{'name': 'conhost.exe', 'username': None, 'pid': 4720, 'vms': 5.11328125}
{'name': 'svchost.exe', 'username': None, 'pid': 4724, 'vms': 1.7734375}
{'name': 'svchost.exe', 'username': None, 'pid': 4784, 'vms': 2.5}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 4816, 'vms': 126.640625}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 4892, 'vms': 10.0625}
{'name': 'spoolsv.exe', 'username': None, 'pid': 5076, 'vms': 5.53515625}
{'name': 'EMON.EXE', 'username': None, 'pid': 5188, 'vms': 9.88671875}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 5208, 'vms': 50.32421875}
{'name': 'armsvc.exe', 'username': None, 'pid': 5232, 'vms': 1.3359375}
{'name': 'svchost.exe', 'username': None, 'pid': 5244, 'vms': 3.875}
{'name': 'AnyDesk.exe', 'username': None, 'pid': 5252, 'vms': 20.12890625}
{'name': 'svchost.exe', 'username': None, 'pid': 5272, 'vms': 37.30859375}
{'name': 'svchost.exe', 'username': None, 'pid': 5280, 'vms': 18.00390625}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 5296, 'vms': 29.88671875}
{'name': 'GoogleInputService.exe', 'username': None, 'pid': 5308, 'vms': 1.65625}
{'name': 'svchost.exe', 'username': None, 'pid': 5336, 'vms': 2.82421875}
{'name': 'jhi_service.exe', 'username': None, 'pid': 5348, 'vms': 1.265625}
{'name': 'esif_uf.exe', 'username': None, 'pid': 5360, 'vms': 1.92578125}
{'name': 'svchost.exe', 'username': None, 'pid': 5384, 'vms': 4.1484375}
{'name': 'NahimicService.exe', 'username': None, 'pid': 5396, 'vms': 3.08984375}
{'name': 'nvcontainer.exe', 'username': None, 'pid': 5412, 'vms': 12.109375}
{'name': 'WEBPROT2.EXE', 'username': None, 'pid': 5420, 'vms': 6.3359375}
{'name': 'dptf_helper.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 5436, 'vms': 1.484375}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 5440, 'vms': 190.01953125}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 5444, 'vms': 4.609375}
{'name': 'NPProt.exe', 'username': None, 'pid': 5460, 'vms': 1.0234375}
{'name': 'NPHOST.EXE', 'username': None, 'pid': 5468, 'vms': 5.96484375}
{'name': 'OneApp.IGCC.WinService.exe', 'username': None, 'pid': 5476, 'vms': 37.90625}
{'name': 'mysqld.exe', 'username': None, 'pid': 5512, 'vms': 32.7734375}
{'name': 'svchost.exe', 'username': None, 'pid': 5520, 'vms': 1.22265625}
{'name': 'AWCC.Service.exe', 'username': None, 'pid': 5528, 'vms': 49.7578125}
{'name': 'svchost.exe', 'username': None, 'pid': 5568, 'vms': 4.23046875}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 5604, 'vms': 16.8125}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'username': None, 'pid': 5620, 'vms': 33.86328125}
{'name': 'MsMpEng.exe', 'username': None, 'pid': 5688, 'vms': 331.6328125}
{'name': 'RiotClientServices.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 5724, 'vms': 88.96484375}
{'name': 'svchost.exe', 'username': None, 'pid': 5736, 'vms': 4.07421875}
{'name': 'WMIRegistrationService.exe', 'username': None, 'pid': 5744, 'vms': 2.734375}
{'name': 'audiodg.exe', 'username': None, 'pid': 5808, 'vms': 9.609375}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 5816, 'vms': 15.484375}
{'name': 'ZVMonNt.exe', 'username': None, 'pid': 5832, 'vms': 48.9140625}
{'name': 'svchost.exe', 'username': None, 'pid': 5900, 'vms': 3.546875}
{'name': 'mysqld.exe', 'username': None, 'pid': 6320, 'vms': 577.0234375}
{'name': 'conhost.exe', 'username': None, 'pid': 6396, 'vms': 5.51953125}
{'name': 'vgtray.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 6508, 'vms': 2.140625}
{'name': 'svchost.exe', 'username': None, 'pid': 6544, 'vms': 2.890625}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 6652, 'vms': 11.95703125}
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 6804, 'vms': 2.1015625}
{'name': 'svchost.exe', 'username': None, 'pid': 6848, 'vms': 2.26953125}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 6948, 'vms': 16.9453125}
{'name': 'svchost.exe', 'username': None, 'pid': 6968, 'vms': 2.05078125}
{'name': 'NVIDIA Share.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 7036, 'vms': 52.69140625}
{'name': 'svchost.exe', 'username': None, 'pid': 7220, 'vms': 1.69921875}
{'name': 'rundll32.exe', 'username': None, 'pid': 7380, 'vms': 1.39453125}
{'name': 'dllhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 7508, 'vms': 1.6015625}
{'name': 'SystemSettingsBroker.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 7704, 'vms': 7.96484375}
{'name': 'powershell.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 7776, 'vms': 55.08984375}
{'name': 'svchost.exe', 'username': None, 'pid': 8012, 'vms': 10.03515625}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 8076, 'vms': 8.19921875}
{'name': 'DellSupportAssistRemedationService.exe', 'username': None, 'pid': 8160, 'vms': 76.5}
{'name': 'NisSrv.exe', 'username': None, 'pid': 8300, 'vms': 3.80078125}
{'name': 'UserOOBEBroker.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 8512, 'vms': 1.80859375}
{'name': 'svchost.exe', 'username': None, 'pid': 8556, 'vms': 1.26171875}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 8620, 'vms': 2.99609375}
{'name': 'NPAVIDS.EXE', 'username': None, 'pid': 8684, 'vms': 5.2578125}
{'name': 'svchost.exe', 'username': None, 'pid': 8828, 'vms': 1.6171875}
{'name': 'svchost.exe', 'username': None, 'pid': 8864, 'vms': 3.375}
{'name': 'conhost.exe', 'username': None, 'pid': 8876, 'vms': 5.31640625}
{'name': 'nvcontainer.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9264, 'vms': 49.96484375}
{'name': 'sihost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9300, 'vms': 5.9296875}
{'name': 'GoogleInputHandler.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9316, 'vms': 5.48828125}
{'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9380, 'vms': 2.046875}
{'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9396, 'vms': 6.01171875}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9404, 'vms': 120.484375}
{'name': 'PresentationFontCache.exe', 'username': None, 'pid': 9432, 'vms': 31.50390625}
{'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9484, 'vms': 1.8984375}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9532, 'vms': 136.75}
{'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9580, 'vms': 8.015625}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9600, 'vms': 88.40625}
{'name': 'svchost.exe', 'username': None, 'pid': 9684, 'vms': 3.67578125}
{'name': 'taskhostw.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9768, 'vms': 9.46484375}
{'name': 'EMAILSCN.EXE', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9792, 'vms': 5.45703125}
{'name': 'FusionService.exe', 'username': None, 'pid': 9816, 'vms': 39.2421875}
{'name': 'powershell.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9832, 'vms': 54.85546875}
{'name': 'NVIDIA Share.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 9872, 'vms': 37.83203125}
{'name': 'ZVCMD64.EXE', 'username': None, 'pid': 9880, 'vms': 0.6328125}
{'name': 'igfxEMN.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 10016, 'vms': 3.42578125}
{'name': 'conhost.exe', 'username': None, 'pid': 10156, 'vms': 5.5859375}
{'name': 'svchost.exe', 'username': None, 'pid': 10204, 'vms': 5.2109375}
{'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 10300, 'vms': 77.890625}
{'name': 'explorer.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 10432, 'vms': 216.0859375}
{'name': 'nvsphelper64.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 10916, 'vms': 2.97265625}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 10928, 'vms': 2.67578125}
{'name': 'backgroundTaskHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 10948, 'vms': 8.0}
{'name': 'NVIDIA Web Helper.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 11080, 'vms': 30.33984375}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 11088, 'vms': 6.65234375}
{'name': 'conhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 11148, 'vms': 5.25}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 11268, 'vms': 29.23046875}
{'name': 'svchost.exe', 'username': None, 'pid': 11288, 'vms': 2.5703125}
{'name': 'svchost.exe', 'username': None, 'pid': 11428, 'vms': 4.70703125}
{'name': 'python3.10.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 11500, 'vms': 14.25390625}
{'name': 'conhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 11636, 'vms': 1.2578125}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 11652, 'vms': 33.30078125}
{'name': 'SearchHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 11772, 'vms': 288.14453125}
{'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 11808, 'vms': 2.24609375}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 11908, 'vms': 32.69921875}
{'name': 'dllhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 11972, 'vms': 6.8828125}
{'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 12020, 'vms': 5.15625}
{'name': 'NVIDIA Share.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 12096, 'vms': 50.9921875}
{'name': 'update.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 12536, 'vms': 1.13671875}
{'name': 'update.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 12580, 'vms': 14.8125}
