--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 17:08:07 2023
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.05078125}
{'name': 'Registry', 'username': None, 'pid': 176, 'vms': 13.1875}
{'name': 'svchost.exe', 'username': None, 'pid': 516, 'vms': 3.37109375}
{'name': 'smss.exe', 'username': None, 'pid': 708, 'vms': 1.09765625}
{'name': 'csrss.exe', 'username': None, 'pid': 820, 'vms': 2.58984375}
{'name': 'svchost.exe', 'username': None, 'pid': 860, 'vms': 6.42578125}
{'name': 'wininit.exe', 'username': None, 'pid': 1104, 'vms': 1.53125}
{'name': 'services.exe', 'username': None, 'pid': 1172, 'vms': 7.0}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 1184, 'vms': 54.68359375}
{'name': 'lsass.exe', 'username': None, 'pid': 1196, 'vms': 9.0234375}
{'name': 'svchost.exe', 'username': None, 'pid': 1212, 'vms': 5.984375}
{'name': 'svchost.exe', 'username': None, 'pid': 1324, 'vms': 12.6328125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1340, 'vms': 1.9140625}
{'name': 'svchost.exe', 'username': None, 'pid': 1412, 'vms': 8.45703125}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1436, 'vms': 5.2265625}
{'name': 'svchost.exe', 'username': None, 'pid': 1500, 'vms': 3.09375}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1536, 'vms': 11.0859375}
{'name': 'python3.10.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 1668, 'vms': 16.08203125}
{'name': 'dptf_helper.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 1744, 'vms': 1.4453125}
{'name': 'LockApp.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 1784, 'vms': 40.75}
{'name': 'svchost.exe', 'username': None, 'pid': 1836, 'vms': 6.24609375}
{'name': 'svchost.exe', 'username': None, 'pid': 1852, 'vms': 2.2890625}
{'name': 'svchost.exe', 'username': None, 'pid': 1868, 'vms': 2.765625}
{'name': 'svchost.exe', 'username': None, 'pid': 1888, 'vms': 3.1875}
{'name': 'winlogon.exe', 'username': None, 'pid': 1908, 'vms': 2.43359375}
{'name': 'svchost.exe', 'username': None, 'pid': 1972, 'vms': 2.78125}
{'name': 'svchost.exe', 'username': None, 'pid': 1996, 'vms': 1.96484375}
{'name': 'svchost.exe', 'username': None, 'pid': 2000, 'vms': 2.7734375}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 2036, 'vms': 16.453125}
{'name': 'svchost.exe', 'username': None, 'pid': 2056, 'vms': 2.2734375}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 2068, 'vms': 31.0390625}
{'name': 'TextInputHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 2144, 'vms': 74.61328125}
{'name': 'svchost.exe', 'username': None, 'pid': 2152, 'vms': 3.5078125}
{'name': 'svchost.exe', 'username': None, 'pid': 2188, 'vms': 1.74609375}
{'name': 'svchost.exe', 'username': None, 'pid': 2284, 'vms': 2.78515625}
{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 2300, 'vms': 1.1875}
{'name': 'svchost.exe', 'username': None, 'pid': 2308, 'vms': 2.41796875}
{'name': 'svchost.exe', 'username': None, 'pid': 2320, 'vms': 2.60546875}
{'name': 'NPAVIDS.EXE', 'username': None, 'pid': 2348, 'vms': 6.234375}
{'name': 'svchost.exe', 'username': None, 'pid': 2388, 'vms': 1.3359375}
{'name': 'svchost.exe', 'username': None, 'pid': 2432, 'vms': 1.87890625}
{'name': 'update.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 2456, 'vms': 15.3828125}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 2460, 'vms': 6.43359375}
{'name': 'svchost.exe', 'username': None, 'pid': 2652, 'vms': 3.109375}
{'name': 'svchost.exe', 'username': None, 'pid': 2708, 'vms': 1.7890625}
{'name': 'svchost.exe', 'username': None, 'pid': 2740, 'vms': 1.8515625}
{'name': 'svchost.exe', 'username': None, 'pid': 2808, 'vms': 8.1171875}
{'name': 'svchost.exe', 'username': None, 'pid': 2840, 'vms': 1.63671875}
{'name': 'csrss.exe', 'username': None, 'pid': 2892, 'vms': 2.91796875}
{'name': 'igfxCUIServiceN.exe', 'username': None, 'pid': 2960, 'vms': 2.33203125}
{'name': 'dllhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 3128, 'vms': 10.39453125}
{'name': 'svchost.exe', 'username': None, 'pid': 3144, 'vms': 1.8984375}
{'name': 'svchost.exe', 'username': None, 'pid': 3184, 'vms': 15.58984375}
{'name': 'EpicWebHelper.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 3216, 'vms': 35.47265625}
{'name': 'svchost.exe', 'username': None, 'pid': 3360, 'vms': 11.1328125}
{'name': 'svchost.exe', 'username': None, 'pid': 3368, 'vms': 1.27734375}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 3436, 'vms': 5.26171875}
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 3528, 'vms': 7.96875}
{'name': 'svchost.exe', 'username': None, 'pid': 3560, 'vms': 18.7578125}
{'name': 'svchost.exe', 'username': None, 'pid': 3588, 'vms': 3.0078125}
{'name': 'svchost.exe', 'username': None, 'pid': 3596, 'vms': 1.21484375}
{'name': 'svchost.exe', 'username': None, 'pid': 3652, 'vms': 2.4921875}
{'name': 'svchost.exe', 'username': None, 'pid': 3660, 'vms': 1.80859375}
{'name': 'MemCompression', 'username': None, 'pid': 3668, 'vms': 1.0546875}
{'name': 'svchost.exe', 'username': None, 'pid': 3960, 'vms': 4.12890625}
{'name': 'conhost.exe', 'username': None, 'pid': 3968, 'vms': 5.09375}
{'name': 'svchost.exe', 'username': None, 'pid': 4000, 'vms': 1.3984375}
{'name': 'svchost.exe', 'username': None, 'pid': 4176, 'vms': 18.97265625}
{'name': 'mcafee-security.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 4244, 'vms': 56.28125}
{'name': 'svchost.exe', 'username': None, 'pid': 4248, 'vms': 13.62890625}
{'name': 'svchost.exe', 'username': None, 'pid': 4300, 'vms': 2.35546875}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4408, 'vms': 39.63671875}
{'name': 'svchost.exe', 'username': None, 'pid': 4468, 'vms': 6.52734375}
{'name': 'svchost.exe', 'username': None, 'pid': 4500, 'vms': 3.625}
{'name': 'svchost.exe', 'username': None, 'pid': 4656, 'vms': 4.28125}
{'name': 'wlanext.exe', 'username': None, 'pid': 4712, 'vms': 1.40625}
{'name': 'conhost.exe', 'username': None, 'pid': 4720, 'vms': 5.11328125}
{'name': 'svchost.exe', 'username': None, 'pid': 4724, 'vms': 1.7109375}
{'name': 'svchost.exe', 'username': None, 'pid': 4784, 'vms': 2.34375}
{'name': 'spoolsv.exe', 'username': None, 'pid': 5076, 'vms': 5.48046875}
{'name': 'conhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 5172, 'vms': 5.24609375}
{'name': 'EMON.EXE', 'username': None, 'pid': 5188, 'vms': 10.6640625}
{'name': 'armsvc.exe', 'username': None, 'pid': 5232, 'vms': 1.3359375}
{'name': 'svchost.exe', 'username': None, 'pid': 5244, 'vms': 3.87109375}
{'name': 'AnyDesk.exe', 'username': None, 'pid': 5252, 'vms': 20.65625}
{'name': 'svchost.exe', 'username': None, 'pid': 5272, 'vms': 15.4765625}
{'name': 'svchost.exe', 'username': None, 'pid': 5280, 'vms': 18.1953125}
